Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Beds Are Burning - Remastered,0.753,0.427,0,-11.112,1,0.0387,0.00787,0.00065,0.058,0.295,119.18,Classic Rock
Any Way You Want It,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,Classic Rock
Train in Vain (Stand by Me) - Remastered,0.762,0.722,2,-8.712,1,0.0428,0.0922,0.000368,0.132,0.966,122.769,Classic Rock
Piano Man,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96E-06,0.192,0.429,177.734,Classic Rock
Black Magic Woman,0.497,0.552,9,-7.102,0,0.0307,0.679,0.0314,0.089,0.633,124.359,Classic Rock
Livin' Thing,0.549,0.651,0,-7.097,1,0.0323,0.583,0,0.121,0.368,122.818,Classic Rock
Your Love,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62E-06,0.0673,0.616,129.537,Classic Rock
Lido Shuffle,0.59,0.785,10,-4.728,1,0.0341,0.0172,0.000215,0.114,0.674,141.18,Classic Rock
"Danger Zone - From ""Top Gun"" Original Soundtrack",0.544,0.897,3,-6.056,0,0.0471,0.241,0,0.13,0.647,157.17,Classic Rock
The Final Countdown,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,Classic Rock
She Bangs the Drums - Remastered,0.339,0.976,9,-4.782,1,0.0909,0.00649,0.00672,0.123,0.672,144.723,Classic Rock
Where The Streets Have No Name - Single Edit,0.504,0.857,2,-6.014,1,0.0379,0.0119,0.00653,0.13,0.354,125.636,Classic Rock
Hold Your Head Up,0.502,0.488,7,-12.265,1,0.0261,0.3,0.128,0.319,0.74,89.279,Classic Rock
Go Your Own Way - 2004 Remaster,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,Classic Rock
Heroes - Single Version [Remastered],0.502,0.681,7,-8.263,1,0.0276,0.016,0.107,0.102,0.584,112.16,Classic Rock
Turn Up the Radio,0.619,0.948,2,-6.642,1,0.0659,0.0813,2.75E-05,0.369,0.373,110.107,Classic Rock
Bum to Bum,0.394,0.933,0,-4.061,1,0.0747,0.000144,0.0806,0.33,0.544,179.989,Classic Rock
Tom Sawyer,0.535,0.863,9,-7.937,1,0.0369,0.00126,0.0175,0.191,0.578,87.599,Classic Rock
Like a Stone,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,Classic Rock
Foxey Lady,0.507,0.851,4,-5.995,1,0.0386,0.0612,0.157,0.371,0.587,98.061,Classic Rock
Eye of the Tiger,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,Classic Rock
Piece of My Heart,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,Classic Rock
Sweet Home Alabama,0.58,0.634,7,-11.058,1,0.0252,0.145,0.000984,0.329,0.935,97.919,Classic Rock
Burnin' for You,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,Classic Rock
